image_url,id,Категория,Сезон,Материал подошвы,Материал верха,Цвет
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B13G_20716464_2_v1.jpg,MP002XM0B13G,Высокие ботинки,демисезон,"полиуретан, резина",натуральный нубук,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B13G_20716465_3_v1.jpg,MP002XM0B13G,Высокие ботинки,демисезон,"полиуретан, резина",натуральный нубук,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B13G_20716466_4_v1.jpg,MP002XM0B13G,Высокие ботинки,демисезон,"полиуретан, резина",натуральный нубук,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B13G_20716467_5_v1.jpg,MP002XM0B13G,Высокие ботинки,демисезон,"полиуретан, резина",натуральный нубук,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BKBC_24542665_1_v1.jpg,MP002XM0BKBC,Высокие ботинки,зима,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BKBC_24542666_2_v1.jpg,MP002XM0BKBC,Высокие ботинки,зима,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BKBC_24542667_3_v1.jpg,MP002XM0BKBC,Высокие ботинки,зима,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BKBC_24542668_4_v1.jpg,MP002XM0BKBC,Высокие ботинки,зима,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BKBC_24542669_5_v1.jpg,MP002XM0BKBC,Высокие ботинки,зима,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM08D1B_17779332_1_v2.jpg,MP002XM08D1B,Мартинсы и др.,демисезон,ПВХ,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM08D1B_17779333_2_v1.jpg,MP002XM08D1B,Мартинсы и др.,демисезон,ПВХ,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM08D1B_17779334_3_v1.jpg,MP002XM08D1B,Мартинсы и др.,демисезон,ПВХ,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM08D1B_17779335_4_v1.jpg,MP002XM08D1B,Мартинсы и др.,демисезон,ПВХ,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM08D1B_17779336_5_v1.jpg,MP002XM08D1B,Мартинсы и др.,демисезон,ПВХ,натуральная кожа,коричневый
